system:index,date,.geo
345,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
346,2016-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
347,2016-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
348,2016-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
349,2016-03-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
350,2016-03-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
351,2016-04-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
352,2016-04-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
353,2016-05-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
354,2016-05-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
355,2016-06-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
356,2016-06-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
357,2016-07-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
358,2016-07-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
359,2016-08-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
360,2016-08-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
361,2016-09-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
362,2016-09-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
363,2016-10-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
364,2016-10-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
365,2016-11-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
366,2016-12-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
367,2016-12-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
368,2017-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
369,2017-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
370,2017-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
371,2017-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
372,2017-03-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
373,2017-03-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
374,2017-04-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
375,2017-04-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
376,2017-05-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
377,2017-05-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
378,2017-06-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
379,2017-06-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
380,2017-07-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
381,2017-07-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
382,2017-08-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
383,2017-08-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
384,2017-09-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
385,2017-09-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
386,2017-10-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
